ten_san_pham,thuong_hieu,danh_muc,gia_goc,gia_ban,phan_tram_giam_gia,so_luong_da_ban,so_luong_ton,rating,so_luot_danh_gia,ten_shop,shop_mall,dia_diem_shop,danh_gia_shop,tham_gia_tu
ROG Strix G16,Asus,Laptop,30242041,27217836,10,4282,773,5.0,1030,Smart Asus 28,Không,Hải Phòng,4.1,2022
AirPods Pro 2,Apple,Tai nghe,9683401,8811894,9,3847,977,4.0,2634,Store Apple 49,Có,TP.HCM,4.8,2022
MacBook Air M2,Apple,Laptop,19274660,17154447,11,647,742,4.4,348,Tech Apple 31,Không,Hà Nội,4.5,2017
AirPods Pro 2,Apple,Tai nghe,484163,367963,24,1547,1129,3.8,71,Mobile Apple 35,Có,Hải Phòng,4.6,2025
Victus 16,HP,Laptop,15065574,13860328,8,2587,190,4.9,39,Digital HP 97,Không,Cần Thơ,4.5,2021
Victus 16,HP,Laptop,35879836,31215457,13,807,678,4.1,764,Center HP 13,Có,TP.HCM,4.6,2022
Zenbook OLED,Asus,Laptop,14510427,11173028,23,1330,310,4.5,166,Smart Asus 12,Có,Hà Nội,4.8,2018
EliteBook 840,HP,Laptop,22807682,14368839,37,4239,1492,4.4,2801,Store HP 17,Không,Đà Nẵng,4.4,2022
Galaxy Z Fold5,Samsung,Điện thoại,31013695,24810956,20,1720,1250,4.4,317,Center Samsung 81,Không,TP.HCM,4.8,2018
Victus 16,HP,Laptop,48717678,43845910,10,4097,192,4.2,700,Digital HP 21,Có,Đà Nẵng,4.6,2021
Galaxy S24,Samsung,Điện thoại,17024985,11236490,34,2123,969,5.0,1815,Smart Samsung 18,Có,Hải Phòng,4.5,2021
Victus 16,HP,Laptop,38906575,26845536,31,1066,902,4.1,647,Digital HP 11,Không,Hải Phòng,4.5,2016
Alienware M16,Dell,Gaming,8829142,7063313,20,4604,16,3.7,867,Digital Dell 49,Có,Hải Phòng,4.4,2017
MacBook Air M2,Apple,Laptop,43022989,38720690,10,2868,954,4.2,2196,Mega Apple 60,Có,TP.HCM,4.2,2017
Vivobook 15,Asus,Laptop,25386272,17770390,30,2702,132,4.0,2480,Store Asus 28,Không,TP.HCM,4.3,2016
Inspiron 15,Dell,Laptop,43538988,37443529,14,1758,655,4.4,1236,Mega Dell 49,Có,Đà Nẵng,4.8,2023
iPhone 15,Apple,Điện thoại,19193047,18041464,6,3474,552,3.9,726,Tech Apple 19,Có,Đà Nẵng,4.4,2020
EliteBook 840,HP,Laptop,42294345,29183098,31,4308,438,4.5,2130,Mobile HP 7,Có,Cần Thơ,4.3,2020
iPhone 15,Apple,Điện thoại,28439532,19623277,31,3955,973,4.3,3215,Mobile Apple 90,Không,Đà Nẵng,4.9,2025
ROG Strix G16,Asus,Laptop,49641928,41202800,17,647,1480,4.5,636,Mobile Asus 42,Không,TP.HCM,4.2,2023
MacBook Air M2,Apple,Laptop,33233770,29245717,12,3339,538,4.3,20,Store Apple 17,Không,Hải Phòng,4.1,2019
WH-1000XM5,Sony,Tai nghe,7349385,4483124,39,1370,1230,4.1,717,Mobile Sony 25,Có,Đà Nẵng,4.8,2016
Xiaomi 14,Xiaomi,Điện thoại,38694367,34051042,12,4098,1328,5.0,1700,Store Xiaomi 46,Không,Hải Phòng,4.4,2021
Galaxy S24,Samsung,Điện thoại,35791128,24337967,32,3066,362,4.3,671,Center Samsung 56,Không,Đà Nẵng,4.8,2022
PlayStation 5,Sony,Gaming,11658881,10492992,10,860,183,4.5,636,Store Sony 14,Không,Hải Phòng,4.9,2017
PlayStation 5,Sony,Gaming,38780019,36065417,7,2384,861,3.8,1867,Center Sony 49,Có,Hà Nội,4.9,2017
Xiaomi 14,Xiaomi,Điện thoại,32711581,22898106,30,72,767,4.7,69,Digital Xiaomi 35,Không,Đà Nẵng,4.8,2022
WH-1000XM5,Sony,Tai nghe,369752,255128,31,277,31,3.5,196,Mega Sony 67,Không,Đà Nẵng,4.2,2025
ROG Strix G16,Asus,Laptop,49295051,34506535,30,1588,1262,4.5,110,Mega Asus 74,Không,Hà Nội,4.9,2022
WH-1000XM5,Sony,Tai nghe,7063214,5297410,25,4247,324,4.2,820,Smart Sony 17,Có,Hải Phòng,4.8,2020
EliteBook 840,HP,Laptop,22673877,17005407,25,1679,190,3.6,900,Tech HP 81,Có,TP.HCM,4.6,2024
Galaxy Z Fold5,Samsung,Điện thoại,30662755,28822989,6,1079,929,4.5,738,Mobile Samsung 31,Có,Đà Nẵng,4.2,2019
PlayStation 5,Sony,Gaming,22480498,20682058,8,2262,169,4.9,99,Smart Sony 75,Có,TP.HCM,4.5,2025
Galaxy S24,Samsung,Điện thoại,14518411,11179176,23,2156,369,3.6,2029,Mega Samsung 47,Có,Cần Thơ,4.1,2016
ROG Strix G16,Asus,Laptop,44649622,40631156,9,1732,1407,4.1,647,Smart Asus 58,Có,Hà Nội,4.3,2018
Xperia 1 V,Sony,Điện thoại,7110605,6257332,12,2818,710,4.2,2519,Center Sony 70,Có,Hà Nội,4.5,2020
Galaxy S24,Samsung,Điện thoại,6983418,4259884,39,198,1060,4.3,44,Mobile Samsung 47,Có,Hà Nội,4.0,2018
iPhone 15,Apple,Điện thoại,13494656,10525831,22,2251,986,3.8,381,Digital Apple 91,Không,Cần Thơ,4.7,2023
Zenbook OLED,Asus,Laptop,38839663,32236920,17,2058,354,3.8,1156,Store Asus 14,Không,Hà Nội,4.8,2023
Vivobook 15,Asus,Laptop,40436530,31540493,22,2621,1275,3.7,1573,Store Asus 26,Không,Đà Nẵng,4.9,2017
ROG Strix G16,Asus,Laptop,14265595,8987324,37,2083,1201,4.1,1447,Store Asus 4,Có,Hà Nội,4.8,2022
Pavilion 14,HP,Laptop,36007828,28806262,20,605,440,4.5,385,Mobile HP 41,Có,TP.HCM,4.3,2016
PlayStation 5,Sony,Gaming,19346024,12768375,34,4658,658,4.8,4605,Tech Sony 50,Không,Hải Phòng,4.2,2019
Galaxy Z Fold5,Samsung,Điện thoại,23659516,21530159,9,4711,1323,4.1,3570,Digital Samsung 41,Có,Hà Nội,4.0,2023
ROG Strix G16,Asus,Laptop,30415709,20986839,31,986,254,4.2,620,Digital Asus 76,Không,Hà Nội,4.6,2020
Galaxy Z Fold5,Samsung,Điện thoại,5311855,3505824,34,2339,268,4.8,1654,Tech Samsung 69,Có,Đà Nẵng,4.6,2017
ROG Strix G16,Asus,Laptop,39855471,30290157,24,2260,649,4.6,1644,Tech Asus 72,Không,Cần Thơ,4.6,2022
Redmi Buds 5,Xiaomi,Tai nghe,7926616,5073034,36,1004,765,4.9,110,Tech Xiaomi 29,Có,TP.HCM,4.1,2021
EliteBook 840,HP,Laptop,41238155,33402905,19,1404,180,3.8,760,Mega HP 69,Có,TP.HCM,4.3,2016
Galaxy S24,Samsung,Điện thoại,25420562,23132711,9,2170,674,4.5,1559,Digital Samsung 90,Có,Hà Nội,4.6,2017
MacBook Air M2,Apple,Laptop,21932211,15133225,31,3670,1368,3.7,2166,Mobile Apple 74,Không,Cần Thơ,5.0,2021
EliteBook 840,HP,Laptop,44393872,35959036,19,762,540,4.6,733,Tech HP 46,Có,Hà Nội,4.7,2017
ROG Strix G16,Asus,Laptop,26258987,24946037,5,1780,958,4.7,389,Store Asus 14,Không,Hà Nội,4.8,2024
XPS 13,Dell,Laptop,32926250,21731325,34,1271,1033,3.7,271,Mobile Dell 47,Không,Cần Thơ,4.9,2024
MacBook Air M2,Apple,Laptop,24613344,22398143,9,2286,866,3.7,1263,Mega Apple 74,Có,Hà Nội,4.5,2017
WH-1000XM5,Sony,Tai nghe,4335968,4075809,6,3785,383,3.9,1955,Smart Sony 68,Không,Đà Nẵng,4.3,2024
Galaxy A55,Samsung,Điện thoại,33955705,27843678,18,1243,812,4.3,1045,Digital Samsung 7,Không,Đà Nẵng,4.4,2016
PlayStation 5,Sony,Gaming,33359425,27688322,17,2418,387,4.1,1135,Center Sony 78,Không,Hải Phòng,4.4,2016
WH-1000XM5,Sony,Tai nghe,2163660,1752564,19,953,108,4.8,594,Digital Sony 31,Có,Hải Phòng,4.1,2019
Alienware M16,Dell,Gaming,32149521,22504664,30,3228,207,3.8,2838,Digital Dell 64,Có,Hà Nội,4.8,2021
PlayStation 5,Sony,Gaming,24325918,23109622,5,782,379,4.3,722,Center Sony 62,Không,Hà Nội,4.2,2017
iPhone 15,Apple,Điện thoại,27290565,18011772,34,1171,26,4.5,881,Digital Apple 3,Có,Đà Nẵng,4.9,2018
WH-1000XM5,Sony,Tai nghe,10265752,7493998,27,3891,1194,3.5,3581,Mobile Sony 61,Có,TP.HCM,4.8,2025
PlayStation 5,Sony,Gaming,20320126,12598478,38,4131,342,4.6,774,Tech Sony 39,Không,Cần Thơ,4.5,2021
XPS 13,Dell,Laptop,56520592,36173178,36,2086,746,4.2,1449,Digital Dell 91,Không,Hải Phòng,4.8,2025
ROG Strix G16,Asus,Laptop,30115195,18671420,38,179,302,5.0,61,Smart Asus 19,Không,Cần Thơ,4.0,2025
Xperia 1 V,Sony,Điện thoại,33905164,24411718,28,1700,182,3.8,778,Smart Sony 14,Không,Hải Phòng,4.9,2023
Inspiron 15,Dell,Laptop,29804607,21757363,27,2723,800,4.4,1136,Digital Dell 25,Có,Hải Phòng,4.5,2021
EliteBook 840,HP,Laptop,20251790,13771217,32,3737,1160,5.0,3250,Digital HP 37,Có,TP.HCM,4.5,2018
Zenbook OLED,Asus,Laptop,22081613,13690600,38,2383,1277,4.3,671,Digital Asus 63,Không,TP.HCM,4.8,2016
ROG Strix G16,Asus,Laptop,26584454,20470029,23,4868,252,3.6,2510,Tech Asus 56,Không,TP.HCM,4.0,2018
Xiaomi 14,Xiaomi,Điện thoại,38688195,23212917,40,1280,176,4.6,297,Smart Xiaomi 26,Không,Hải Phòng,4.9,2020
iPhone 15,Apple,Điện thoại,36754422,26830728,27,2047,1389,4.5,870,Store Apple 13,Không,Đà Nẵng,4.6,2018
XPS 13,Dell,Laptop,57561765,43171323,25,4746,285,4.5,1639,Digital Dell 18,Không,Hải Phòng,4.2,2020
Galaxy A55,Samsung,Điện thoại,35947546,21928003,39,1512,769,4.7,899,Tech Samsung 18,Không,Đà Nẵng,4.5,2021
Vivobook 15,Asus,Laptop,40700392,26862258,34,3454,840,4.2,2294,Tech Asus 99,Không,TP.HCM,4.8,2025
Redmi Note 13,Xiaomi,Điện thoại,39373616,28349003,28,1052,1271,4.3,605,Tech Xiaomi 97,Không,Hà Nội,4.4,2016
Zenbook OLED,Asus,Laptop,42884891,39454099,8,703,112,3.9,670,Tech Asus 43,Có,Đà Nẵng,4.6,2021
Pavilion 14,HP,Laptop,20149880,12694424,37,444,1436,3.8,78,Center HP 95,Không,Hà Nội,4.2,2018
Redmi Buds 5,Xiaomi,Tai nghe,5515882,5240087,5,3982,1277,4.5,474,Tech Xiaomi 1,Có,Hải Phòng,4.9,2024
Galaxy S24,Samsung,Điện thoại,18709915,16651824,11,3890,50,4.7,1822,Store Samsung 8,Có,Đà Nẵng,4.4,2018
Pavilion 14,HP,Laptop,48689707,38464868,21,3607,1347,4.4,1775,Mobile HP 82,Có,Hà Nội,4.1,2019
AirPods Pro 2,Apple,Tai nghe,9471785,7861581,17,3910,983,3.9,2739,Tech Apple 76,Không,Đà Nẵng,4.7,2022
Zenbook OLED,Asus,Laptop,19203186,12674102,34,3425,870,3.7,1165,Store Asus 16,Không,TP.HCM,4.6,2016
Xperia 1 V,Sony,Điện thoại,34828506,32390510,7,2915,285,4.2,1882,Digital Sony 2,Có,Đà Nẵng,4.5,2024
MacBook Air M2,Apple,Laptop,59393931,36824237,38,3209,1050,3.6,2691,Mobile Apple 46,Không,Cần Thơ,4.7,2018
Redmi Buds 5,Xiaomi,Tai nghe,5382320,3767624,30,568,1321,4.2,488,Center Xiaomi 85,Có,Hải Phòng,4.7,2024
EliteBook 840,HP,Laptop,47261272,37336404,21,1070,1429,4.0,717,Center HP 80,Không,TP.HCM,4.0,2018
iPhone 15,Apple,Điện thoại,12128332,7762132,36,3912,662,4.6,3166,Mega Apple 94,Có,TP.HCM,4.9,2018
PlayStation 5,Sony,Gaming,33189491,30202436,9,517,1253,3.9,43,Mega Sony 96,Có,Cần Thơ,4.8,2025
WH-1000XM5,Sony,Tai nghe,3220363,2415272,25,891,1430,4.2,141,Smart Sony 74,Có,Hà Nội,4.3,2023
PlayStation 5,Sony,Gaming,20132816,16710237,17,1337,888,4.7,398,Tech Sony 75,Có,TP.HCM,4.2,2018
Galaxy A55,Samsung,Điện thoại,32382253,19753174,39,599,697,3.8,545,Store Samsung 25,Có,Hải Phòng,4.8,2024
Xiaomi 14,Xiaomi,Điện thoại,14252536,12969807,9,3605,875,4.4,3584,Tech Xiaomi 73,Có,Hà Nội,4.8,2020
Galaxy S24,Samsung,Điện thoại,38468012,31159089,19,431,1231,4.3,16,Mobile Samsung 38,Không,Cần Thơ,4.7,2017
Pavilion 14,HP,Laptop,31331983,28512104,9,4387,1178,3.9,4246,Center HP 65,Không,Cần Thơ,4.6,2024
WH-1000XM5,Sony,Tai nghe,10077300,6550245,35,2164,1337,3.5,1389,Store Sony 34,Có,Đà Nẵng,4.9,2016
iPhone 15,Apple,Điện thoại,27119696,24950120,8,1940,1010,3.6,1159,Center Apple 90,Có,Đà Nẵng,5.0,2022
Alienware M16,Dell,Gaming,10408537,6245122,40,3932,265,3.9,175,Tech Dell 5,Không,Hải Phòng,4.2,2021
Vivobook 15,Asus,Laptop,32362060,26213268,19,185,113,3.5,55,Center Asus 78,Không,TP.HCM,4.6,2016
Vivobook 15,Asus,Laptop,58670224,51043094,13,3530,1436,4.1,569,Tech Asus 57,Có,Hải Phòng,5.0,2021
Redmi Note 13,Xiaomi,Điện thoại,28026771,19058204,32,484,487,3.8,306,Tech Xiaomi 30,Không,Hải Phòng,4.6,2016
EliteBook 840,HP,Laptop,28772008,26470247,8,637,116,3.7,189,Digital HP 6,Không,Đà Nẵng,4.6,2019
Redmi Note 13,Xiaomi,Điện thoại,31697157,20603152,35,1012,1344,3.6,261,Center Xiaomi 27,Không,Đà Nẵng,4.9,2019
Zenbook OLED,Asus,Laptop,32315122,23266887,28,4527,599,4.8,2005,Center Asus 35,Không,Hải Phòng,4.5,2016
Xiaomi 14,Xiaomi,Điện thoại,37628846,29350499,22,652,416,4.9,538,Mobile Xiaomi 40,Có,TP.HCM,4.4,2018
Galaxy S24,Samsung,Điện thoại,34546516,22800700,34,945,43,4.2,39,Digital Samsung 36,Không,Đà Nẵng,4.8,2017
Galaxy A55,Samsung,Điện thoại,30765526,19689936,36,164,783,4.1,16,Mobile Samsung 27,Không,Hà Nội,4.7,2024
Galaxy Z Fold5,Samsung,Điện thoại,25478140,23694670,7,4446,712,4.9,2759,Mega Samsung 34,Có,TP.HCM,4.3,2025
Vivobook 15,Asus,Laptop,15833163,14091515,11,4542,794,4.9,2359,Mega Asus 69,Không,Cần Thơ,4.6,2025
EliteBook 840,HP,Laptop,29455063,25036803,15,3133,957,4.6,980,Mobile HP 2,Không,Đà Nẵng,4.1,2019
EliteBook 840,HP,Laptop,31852474,23570830,26,4688,808,3.6,2251,Digital HP 35,Không,Hải Phòng,4.0,2020
Alienware M16,Dell,Gaming,26541233,20967574,21,1474,908,4.2,905,Tech Dell 60,Có,Đà Nẵng,4.5,2024
MacBook Air M2,Apple,Laptop,15931561,14338404,10,2274,1249,4.3,267,Store Apple 24,Không,Đà Nẵng,4.3,2023
iPhone 15,Apple,Điện thoại,16710182,14370756,14,416,476,3.7,24,Mobile Apple 88,Không,Hải Phòng,4.3,2024
WH-1000XM5,Sony,Tai nghe,1320270,1043013,21,2118,33,4.5,1452,Center Sony 92,Có,Hải Phòng,4.2,2017
Galaxy Z Fold5,Samsung,Điện thoại,34783765,30609713,12,4196,158,3.9,2673,Center Samsung 48,Không,TP.HCM,4.6,2020
iPhone 15,Apple,Điện thoại,26913764,19377910,28,2754,835,4.8,1539,Store Apple 38,Có,Hà Nội,4.4,2020
AirPods Pro 2,Apple,Tai nghe,728411,648285,11,4999,433,4.7,4189,Smart Apple 95,Không,Hà Nội,4.4,2025
Galaxy Z Fold5,Samsung,Điện thoại,15071341,10700652,29,652,158,4.9,234,Center Samsung 65,Không,Hải Phòng,4.7,2024
Pavilion 14,HP,Laptop,52741926,34282251,35,4306,1065,4.2,2210,Mobile HP 74,Không,Hà Nội,4.3,2021
MacBook Air M2,Apple,Laptop,33126969,29151732,12,1984,911,4.6,1807,Store Apple 47,Có,Đà Nẵng,4.6,2017
Redmi Buds 5,Xiaomi,Tai nghe,8422764,6822438,19,3687,857,3.8,3395,Mega Xiaomi 17,Có,Cần Thơ,4.7,2018
XPS 13,Dell,Laptop,31252539,23126878,26,2581,241,3.6,1729,Center Dell 19,Không,Hà Nội,4.9,2023
Galaxy S24,Samsung,Điện thoại,13106002,9043141,31,2167,1135,4.6,1929,Smart Samsung 13,Có,TP.HCM,4.8,2016
WH-1000XM5,Sony,Tai nghe,1524983,1326735,13,4228,1084,4.9,3464,Digital Sony 17,Không,Hải Phòng,4.2,2020
Galaxy A55,Samsung,Điện thoại,27591560,24556488,11,380,151,4.6,186,Store Samsung 53,Không,Cần Thơ,4.3,2023
WH-1000XM5,Sony,Tai nghe,3377793,2128009,37,696,311,4.8,612,Center Sony 48,Không,Cần Thơ,4.3,2018
Alienware M16,Dell,Gaming,44465439,34683042,22,803,475,3.9,354,Tech Dell 73,Không,Đà Nẵng,4.3,2021
Pavilion 14,HP,Laptop,21609758,20097074,7,1735,881,4.3,1182,Center HP 41,Có,Đà Nẵng,4.3,2017
Xiaomi 14,Xiaomi,Điện thoại,37657570,25230571,33,1842,346,3.9,536,Center Xiaomi 97,Có,Hà Nội,4.7,2018
Galaxy S24,Samsung,Điện thoại,39138156,33267432,15,234,1225,4.9,233,Center Samsung 69,Có,TP.HCM,4.5,2016
Redmi Note 13,Xiaomi,Điện thoại,23913795,16261380,32,3654,1066,3.7,1863,Digital Xiaomi 15,Có,Cần Thơ,4.9,2023
Redmi Note 13,Xiaomi,Điện thoại,14181702,11061727,22,964,724,4.7,767,Mega Xiaomi 29,Có,Đà Nẵng,4.2,2021
Xiaomi 14,Xiaomi,Điện thoại,39416385,35868910,9,2588,78,4.2,2140,Digital Xiaomi 25,Có,TP.HCM,4.2,2025
ROG Strix G16,Asus,Laptop,57187594,47465703,17,2183,962,3.7,771,Smart Asus 64,Không,Hà Nội,4.2,2017
Alienware M16,Dell,Gaming,19373985,18405285,5,3567,137,4.2,2508,Mobile Dell 91,Có,TP.HCM,4.4,2020
XPS 13,Dell,Laptop,54347463,43477970,20,2866,991,4.3,742,Digital Dell 30,Không,Cần Thơ,4.5,2022
XPS 13,Dell,Laptop,48467850,31504102,35,2430,197,3.8,1181,Store Dell 58,Không,Hà Nội,4.7,2017
MacBook Air M2,Apple,Laptop,33401416,29393246,12,2857,1427,4.1,529,Mega Apple 62,Không,Hải Phòng,4.4,2019
Galaxy A55,Samsung,Điện thoại,22980066,14477441,37,1772,837,3.6,1585,Digital Samsung 34,Không,Cần Thơ,4.4,2023
Vivobook 15,Asus,Laptop,29495239,27135619,8,2208,994,4.6,1396,Smart Asus 6,Không,Cần Thơ,4.4,2025
AirPods Pro 2,Apple,Tai nghe,3759475,3308338,12,2710,264,4.4,86,Smart Apple 3,Không,TP.HCM,4.8,2021
Redmi Buds 5,Xiaomi,Tai nghe,1364762,1255581,8,4258,431,4.0,1630,Mobile Xiaomi 69,Không,Hà Nội,4.3,2018
Xiaomi 14,Xiaomi,Điện thoại,32742487,26848839,18,4539,509,4.9,300,Mega Xiaomi 3,Có,Hải Phòng,4.4,2023
Galaxy S24,Samsung,Điện thoại,23997829,18238350,24,208,471,4.4,181,Mobile Samsung 5,Không,TP.HCM,4.8,2022
PlayStation 5,Sony,Gaming,13804225,10767295,22,705,156,3.6,430,Tech Sony 2,Có,TP.HCM,4.7,2022
AirPods Pro 2,Apple,Tai nghe,5537674,4153255,25,3492,1049,4.6,1242,Digital Apple 59,Có,TP.HCM,4.3,2025
Vivobook 15,Asus,Laptop,31544695,21450392,32,772,455,5.0,579,Digital Asus 62,Không,Hải Phòng,4.5,2022
Galaxy A55,Samsung,Điện thoại,31417080,22620297,28,4487,1463,3.7,1840,Center Samsung 4,Không,Hà Nội,4.4,2023
Inspiron 15,Dell,Laptop,55138823,41905505,24,2733,294,4.7,347,Tech Dell 72,Có,Hà Nội,4.9,2023
Inspiron 15,Dell,Laptop,17629680,15161524,14,3312,1262,4.8,2148,Smart Dell 73,Có,TP.HCM,4.8,2020
Vivobook 15,Asus,Laptop,34673969,29819613,14,309,658,4.5,213,Mega Asus 1,Không,Hà Nội,4.8,2023
XPS 13,Dell,Laptop,33006159,26404927,20,2646,944,4.6,2112,Center Dell 95,Có,TP.HCM,4.4,2017
ROG Strix G16,Asus,Laptop,12914326,10977177,15,4269,248,3.7,3589,Mega Asus 15,Có,Cần Thơ,4.5,2024
ROG Strix G16,Asus,Laptop,48714256,33612836,31,3281,18,3.9,1788,Digital Asus 93,Không,Hải Phòng,4.3,2021
Alienware M16,Dell,Gaming,16136425,13877325,14,2387,1071,4.5,1525,Center Dell 78,Không,Cần Thơ,4.5,2021
Xperia 1 V,Sony,Điện thoại,14082463,11970093,15,4305,1464,4.7,85,Digital Sony 54,Có,Hà Nội,4.5,2016
Redmi Buds 5,Xiaomi,Tai nghe,3448654,2862382,17,778,1101,4.2,101,Tech Xiaomi 80,Không,Hải Phòng,4.2,2021
Xperia 1 V,Sony,Điện thoại,20168583,14723065,27,125,394,3.9,110,Mega Sony 55,Không,Đà Nẵng,4.6,2022
Redmi Buds 5,Xiaomi,Tai nghe,9376758,7782709,17,644,1213,3.7,226,Digital Xiaomi 23,Không,Hải Phòng,4.1,2024
Alienware M16,Dell,Gaming,30699105,22717337,26,4725,1212,4.4,3883,Mobile Dell 22,Có,Hà Nội,5.0,2017
EliteBook 840,HP,Laptop,21830888,18774563,14,1360,973,4.8,667,Tech HP 7,Có,Hải Phòng,4.8,2022
PlayStation 5,Sony,Gaming,26950595,20482452,24,4109,240,3.9,3226,Store Sony 50,Không,Đà Nẵng,4.3,2024
Redmi Buds 5,Xiaomi,Tai nghe,1611972,1321817,18,1370,1297,4.8,297,Mega Xiaomi 56,Không,Cần Thơ,4.7,2020
WH-1000XM5,Sony,Tai nghe,9660094,6568863,32,2862,364,3.5,1502,Mega Sony 60,Không,Cần Thơ,4.2,2024
MacBook Air M2,Apple,Laptop,37112530,31174525,16,97,401,4.2,72,Mobile Apple 1,Không,Đà Nẵng,4.1,2021
Redmi Buds 5,Xiaomi,Tai nghe,518011,404048,22,284,1325,3.9,250,Store Xiaomi 6,Không,Đà Nẵng,4.6,2025
Pavilion 14,HP,Laptop,43595476,28773014,34,4026,355,4.2,3588,Smart HP 97,Có,TP.HCM,4.4,2025
WH-1000XM5,Sony,Tai nghe,3268018,2843175,13,688,859,4.8,127,Tech Sony 57,Có,Đà Nẵng,4.1,2024
Redmi Note 13,Xiaomi,Điện thoại,6119003,4528062,26,2602,1452,3.8,2408,Smart Xiaomi 47,Có,Cần Thơ,4.4,2016
Galaxy S24,Samsung,Điện thoại,38656819,33244864,14,2194,171,3.8,187,Digital Samsung 78,Có,Hải Phòng,4.4,2016
Xiaomi 14,Xiaomi,Điện thoại,28534057,25109970,12,2807,954,4.4,357,Center Xiaomi 60,Có,TP.HCM,4.9,2018
WH-1000XM5,Sony,Tai nghe,3414839,2561129,25,4852,1283,4.9,1392,Mega Sony 2,Có,Đà Nẵng,4.5,2019
Redmi Buds 5,Xiaomi,Tai nghe,11076297,9193326,17,1097,635,3.6,592,Mobile Xiaomi 36,Có,Hải Phòng,4.3,2019
Pavilion 14,HP,Laptop,30307259,25155024,17,1460,604,3.9,905,Digital HP 12,Không,Đà Nẵng,4.6,2021
EliteBook 840,HP,Laptop,47100803,31557538,33,1406,75,4.9,1203,Store HP 20,Có,Cần Thơ,4.3,2020
MacBook Air M2,Apple,Laptop,58952973,37140372,37,4528,550,3.6,1731,Digital Apple 28,Không,Đà Nẵng,4.0,2017
Alienware M16,Dell,Gaming,17510804,11382022,35,1155,956,4.4,767,Center Dell 49,Có,Đà Nẵng,4.7,2021
Pavilion 14,HP,Laptop,22653565,15630959,31,3905,685,4.0,3703,Tech HP 24,Không,Đà Nẵng,4.2,2024
iPhone 15,Apple,Điện thoại,34461375,22744507,34,4872,1179,4.5,3276,Store Apple 32,Không,Đà Nẵng,4.6,2023
PlayStation 5,Sony,Gaming,25144289,23384188,7,1929,1038,3.7,877,Mega Sony 35,Không,Hải Phòng,4.0,2024
